name,link
tf,https://youtu.be/jKV53r9-H14
tf.abs,https://youtu.be/RPocW_aMZKE
tf.acos,https://youtu.be/hzHy57W4Nho
tf.acosh,https://youtu.be/hzHy57W4Nho
tf.add,https://youtu.be/VFEOskzhhbc
tf.add_n,https://youtu.be/OTqtOfP3HhI
tf.AggregationMethod,https://youtu.be/XU5rTgfnq6E
tf.argmax,https://youtu.be/K3lX3Cltt4c
tf.argmin,https://youtu.be/JJ29IMZpLSU
tf.argsort,https://youtu.be/-Op5UO22k_k
tf.as_dtype,https://youtu.be/lP4Qk0y0HGk
tf.as_string,https://youtu.be/ZmlqsOidnWw
tf.asin,https://youtu.be/wkHkSd6BtJo
tf.asinh,https://youtu.be/kWI1fvC60bY
tf.Assert,https://youtu.be/RPocW_aMZKE
tf.assert_equal,https://youtu.be/qJJPrvUcvTI
tf.assert_greater,https://youtu.be/-3q_-FhNtOw
tf.assert_less,https://youtu.be/-3q_-FhNtOw
tf.assert_rank,null
tf.atan,https://youtu.be/sxbpsRkLYVc
tf.atan2,https://youtu.be/tfM5QUNYtEA
tf.atanh,https://youtu.be/VmZI_YkfPBM
tf.audio,https://youtu.be/ZLIPkmmDJAc
tf.audio.decode_wav,https://youtu.be/ZLIPkmmDJAc
tf.audio.encode_wav,null
tf.autodiff,https://youtu.be/boIOgsu-Q8E
tf.autodiff.ForwardAccumulator,https://youtu.be/boIOgsu-Q8E
tf.autodiff.GradientTape,https://youtu.be/tDG52BjkGUY
tf.autograph,https://youtu.be/Up9CvRLIIIw
tf.autograph.experimental,https://youtu.be/Up9CvRLIIIw
tf.autograph.experimental.do_not_convert,https://youtu.be/Up9CvRLIIIw
tf.autograph.experimental.Feature,https://youtu.be/Up9CvRLIIIw
tf.autograph.experimental.set_loop_options,https://youtu.be/Up9CvRLIIIw
tf.autograph.set_verbosity,https://youtu.be/NIEgzljyDyI
tf.autograph.to_code,https://youtu.be/wYJtc3xG8as
tf.autograph.to_graph,https://youtu.be/WTNH0tcscqo
tf.autograph.trace,https://youtu.be/Up9CvRLIIIw
tf.batch_to_space,https://youtu.be/RoHhsCV4lfE
tf.bitcast,https://youtu.be/CrpAiAHjfCo
tf.bitwise,https://youtu.be/zQS6h-XneMs
tf.bitwise.bitwise_and,https://youtu.be/P4lfmClTSsc
tf.bitwise.bitwise_or,https://youtu.be/lP4Qk0y0HGk
tf.bitwise.bitwise_xor,https://youtu.be/0XjMtocYtwY
tf.bitwise.invert,https://youtu.be/cJ3oqHqRBF0
tf.bitwise.left_shift,https://youtu.be/bPW_mZI2nUk
tf.bitwise.right_shift,https://youtu.be/bPW_mZI2nUk
tf.boolean_mask,https://youtu.be/RoHhsCV4lfE
tf.broadcast_dynamic_shape,https://youtu.be/RoHhsCV4lfE
tf.broadcast_static_shape,null
tf.broadcast_to,https://youtu.be/tfM5QUNYtEA
tf.case,https://youtu.be/jKV53r9-H14
tf.cast,https://youtu.be/2JtCNIyGNPU
tf.clip_by_global_norm,https://youtu.be/yV0-GyrnxBs
tf.clip_by_norm,https://youtu.be/2JtCNIyGNPU
tf.clip_by_value,https://youtu.be/k7KfYXXrOj0
tf.compat,https://youtu.be/xu4f1QKTeUY
tf.compat.as_bytes,https://youtu.be/Bzjytn6KXK0
tf.compat.as_str,https://youtu.be/X-WZewDicig
tf.compat.as_str_any,https://youtu.be/X-WZewDicig
tf.compat.as_text,https://youtu.be/X-WZewDicig
tf.compat.dimension_at_index,https://youtu.be/X-WZewDicig
tf.compat.dimension_value,https://youtu.be/X-WZewDicig
tf.compat.forward_compatibility_horizon,null
tf.compat.forward_compatible,null
tf.compat.path_to_str,null
tf.compat.v1,https://youtu.be/xu4f1QKTeUY
tf.compat.v1.abs,https://youtu.be/HxtBIwfy0kM
tf.compat.v1.accumulate_n,null
tf.compat.v1.acos,https://youtu.be/a1Uhea22Hww
tf.compat.v1.acosh,https://youtu.be/l6SuXvhorDY
tf.compat.v1.add,https://youtu.be/s4Lcf9du9L8
tf.compat.v1.add_check_numerics_ops,null
tf.compat.v1.add_n,https://youtu.be/TwzhBdv9nf0
tf.compat.v1.add_to_collection,https://youtu.be/kgM4m5VEba0
tf.compat.v1.add_to_collections,https://youtu.be/kgM4m5VEba0
tf.compat.v1.AggregationMethod,https://youtu.be/TwzhBdv9nf0
tf.compat.v1.all_variables,null
tf.compat.v1.angle,https://youtu.be/tPYj3fFJGjk
tf.compat.v1.app,https://youtu.be/xu4f1QKTeUY
tf.compat.v1.app.flags,https://youtu.be/hHWkvEcDBO0
tf.compat.v1.app.flags.adopt_module_key_flags,null
tf.compat.v1.app.flags.ArgumentParser,https://youtu.be/gObihu5XaTg
tf.compat.v1.app.flags.ArgumentSerializer,null
tf.compat.v1.app.flags.BaseListParser,null
tf.compat.v1.app.flags.BooleanFlag,null
tf.compat.v1.app.flags.BooleanParser,null
tf.compat.v1.app.flags.CantOpenFlagFileError,null
tf.compat.v1.app.flags.CsvListSerializer,null
tf.compat.v1.app.flags.declare_key_flag,null
tf.compat.v1.app.flags.DEFINE,https://youtu.be/tPYj3fFJGjk
tf.compat.v1.app.flags.DEFINE_alias,null
tf.compat.v1.app.flags.DEFINE_bool,null
tf.compat.v1.app.flags.DEFINE_boolean,null
tf.compat.v1.app.flags.DEFINE_enum,null
tf.compat.v1.app.flags.DEFINE_enum_class,null
tf.compat.v1.app.flags.DEFINE_flag,null
tf.compat.v1.app.flags.DEFINE_float,null
tf.compat.v1.app.flags.DEFINE_integer,null
tf.compat.v1.app.flags.DEFINE_list,null
